State,Year,Total
Chhattisgarh,2011,33780
Chhattisgarh,2012,28270
D & N Haveli,2001,250
D & N Haveli,2002,250
D & N Haveli,2003,260
D & N Haveli,2004,195
D & N Haveli,2005,345
D & N Haveli,2006,210
D & N Haveli,2007,380
D & N Haveli,2008,300
D & N Haveli,2009,280
D & N Haveli,2010,315
D & N Haveli,2011,315
D & N Haveli,2012,330
Daman & Diu,2001,69
Daman & Diu,2002,85
Daman & Diu,2003,118
Daman & Diu,2004,65
Daman & Diu,2005,159
Daman & Diu,2006,110
Daman & Diu,2007,75
Daman & Diu,2008,95
Daman & Diu,2009,115
Daman & Diu,2010,155
Daman & Diu,2011,165
Daman & Diu,2012,180
Delhi (Ut),2001,6195
Delhi (Ut),2002,5265
Delhi (Ut),2003,5765
Delhi (Ut),2004,6277
Delhi (Ut),2005,6224
Delhi (Ut),2006,7458
Delhi (Ut),2007,7405
Delhi (Ut),2008,6511
Delhi (Ut),2009,7385
Delhi (Ut),2010,7713
Delhi (Ut),2011,8580
Delhi (Ut),2012,9494
Goa,2001,1280
Goa,2002,1545
Goa,2003,1500
Goa,2004,1570
Goa,2005,1410
Goa,2006,1375
Goa,2007,1350
Goa,2008,1431
Goa,2009,1382
Goa,2010,1610
Goa,2011,1465
Goa,2012,1445
Gujarat,2001,23955
Gujarat,2002,23216
Gujarat,2003,22830
Gujarat,2004,23868
Gujarat,2005,23825
Gujarat,2006,25172
Gujarat,2007,27900
Gujarat,2008,30818
Gujarat,2009,30779
Gujarat,2010,31035
Gujarat,2011,31910
Gujarat,2012,35550
Haryana,2001,10031
Haryana,2002,11000
Haryana,2003,11135
Haryana,2004,10410
Haryana,2005,10230
Haryana,2006,11580
Haryana,2007,12165
Haryana,2008,13280
Haryana,2009,12515
Haryana,2010,14470
Haryana,2011,16225
Haryana,2012,14135
Himachal Pradesh,2001,1535
Himachal Pradesh,2002,1670
Himachal Pradesh,2003,1926
Himachal Pradesh,2004,1840
Himachal Pradesh,2005,1795
Himachal Pradesh,2006,2285
Himachal Pradesh,2007,2010
Himachal Pradesh,2008,3148
Himachal Pradesh,2009,2800
Himachal Pradesh,2010,2703
Himachal Pradesh,2011,2214
Himachal Pradesh,2012,2636
Jammu & Kashmir,2001,765
Jammu & Kashmir,2002,919
Jammu & Kashmir,2003,690
Jammu & Kashmir,2004,560
Jammu & Kashmir,2005,1470
Jammu & Kashmir,2006,1301
Jammu & Kashmir,2007,1170
Jammu & Kashmir,2008,1547
Jammu & Kashmir,2009,1602
Jammu & Kashmir,2010,1295
Jammu & Kashmir,2011,1432
Jammu & Kashmir,2012,2070
Jharkhand,2001,1250
Jharkhand,2002,1360
Jharkhand,2003,1360
Jharkhand,2004,2085
Jharkhand,2005,4040
Jharkhand,2006,4280
Jharkhand,2007,6427
Jharkhand,2008,4555
Jharkhand,2009,5550
Jharkhand,2010,6158
Jharkhand,2011,6060
Jharkhand,2012,6595
Karnataka,2001,59405
Karnataka,2002,61350
Karnataka,2003,61805
Karnataka,2004,59685
Karnataka,2005,57785
Karnataka,2006,61060
Karnataka,2007,61520
Karnataka,2008,61110
Karnataka,2009,60975
Karnataka,2010,63255
Karnataka,2011,63110
Karnataka,2012,63765
Kerala,2001,47860
Kerala,2002,49050
Kerala,2003,47190
Kerala,2004,45265
Kerala,2005,46220
Kerala,2006,45130
Kerala,2007,44810
Kerala,2008,42845
Kerala,2009,43775
Kerala,2010,42930
Kerala,2011,41421
Kerala,2012,42450
Lakshadweep,2001,0
Lakshadweep,2002,0
Lakshadweep,2003,10
Lakshadweep,2004,0
Lakshadweep,2005,0
Lakshadweep,2006,10
Lakshadweep,2007,15
Lakshadweep,2008,0
Lakshadweep,2009,5
Lakshadweep,2010,5
Lakshadweep,2011,0
Lakshadweep,2012,5
Madhya Pradesh,2001,34300
Madhya Pradesh,2002,34495
Madhya Pradesh,2003,33810
Madhya Pradesh,2004,33975
Madhya Pradesh,2005,27240
Madhya Pradesh,2006,32175
Madhya Pradesh,2007,31645
Madhya Pradesh,2008,38145
Madhya Pradesh,2009,45565
Madhya Pradesh,2010,45015
Madhya Pradesh,2011,46295
Madhya Pradesh,2012,48875
Maharashtra,2001,73090
Maharashtra,2002,72645
Maharashtra,2003,73800
Maharashtra,2004,73645
Maharashtra,2005,72130
Maharashtra,2006,77470
Maharashtra,2007,75920
Maharashtra,2008,71870
Maharashtra,2009,71500
Maharashtra,2010,79580
Maharashtra,2011,79735
Maharashtra,2012,80560
Manipur,2001,205
Manipur,2002,195
Manipur,2003,130
Manipur,2004,204
Manipur,2005,134
Manipur,2006,180
Manipur,2007,195
Manipur,2008,170
Manipur,2009,134
Manipur,2010,185
Manipur,2011,165
Manipur,2012,205
Meghalaya,2001,435
Meghalaya,2002,332
Meghalaya,2003,205
Meghalaya,2004,275
Meghalaya,2005,355
Meghalaya,2006,459
Meghalaya,2007,435
Meghalaya,2008,424
Meghalaya,2009,557
Meghalaya,2010,537
Meghalaya,2011,761
Meghalaya,2012,640
Mizoram,2001,270
Mizoram,2002,330
Mizoram,2003,260
Mizoram,2004,300
Mizoram,2005,275
Mizoram,2006,348
Mizoram,2007,140
Mizoram,2008,205
Mizoram,2009,339
Mizoram,2010,380
Mizoram,2011,450
Mizoram,2012,857
Nagaland,2001,200
Nagaland,2002,135
Nagaland,2003,109
Nagaland,2004,155
Nagaland,2005,135
Nagaland,2006,140
Nagaland,2007,116
Nagaland,2008,210
Nagaland,2009,153
Nagaland,2010,60
Nagaland,2011,165
Nagaland,2012,150
Odisha,2001,20254
Odisha,2002,21940
Odisha,2003,22100
Odisha,2004,21075
Odisha,2005,21040
Odisha,2006,20325
Odisha,2007,21540
Odisha,2008,24520
Odisha,2009,21825
Odisha,2010,21275
Odisha,2011,26205
Odisha,2012,25135
Puducherry,2001,2645
Puducherry,2002,2835
Puducherry,2003,2910
Puducherry,2004,2694
Puducherry,2005,2690
Puducherry,2006,2630
Puducherry,2007,2585
Puducherry,2008,2535
Puducherry,2009,2590
Puducherry,2010,2540
Puducherry,2011,2785
Puducherry,2012,2705
Punjab,2001,3240
Punjab,2002,2535
Punjab,2003,3155
Punjab,2004,3225
Punjab,2005,2940
Punjab,2006,3860
Punjab,2007,4235
Punjab,2008,4345
Punjab,2009,4235
Punjab,2010,4600
Punjab,2011,4830
Punjab,2012,5150
Rajasthan,2001,15975
Rajasthan,2002,16240
Rajasthan,2003,18305
Rajasthan,2004,18625
Rajasthan,2005,20889
Rajasthan,2006,21315
Rajasthan,2007,22185
Rajasthan,2008,25830
Rajasthan,2009,25325
Rajasthan,2010,24600
Rajasthan,2011,21740
Rajasthan,2012,24105
Sikkim,2001,470
Sikkim,2002,383
Sikkim,2003,525
Sikkim,2004,488
Sikkim,2005,545
Sikkim,2006,725
Sikkim,2007,610
Sikkim,2008,1435
Sikkim,2009,1204
Sikkim,2010,1400
Sikkim,2011,916
Sikkim,2012,905
Tamil Nadu,2001,56450
Tamil Nadu,2002,56134
Tamil Nadu,2003,59360
Tamil Nadu,2004,64195
Tamil Nadu,2005,60380
Tamil Nadu,2006,61905
Tamil Nadu,2007,69055
Tamil Nadu,2008,72125
Tamil Nadu,2009,71832
Tamil Nadu,2010,82805
Tamil Nadu,2011,79815
Tamil Nadu,2012,84635
Total (All India),2001,217012
Total (All India),2002,220834
Total (All India),2003,221702
Total (All India),2004,227394
Total (All India),2005,227828
Total (All India),2006,236224
Total (All India),2007,245274
Total (All India),2008,250034
Total (All India),2009,254302
Total (All India),2010,269198
Total (All India),2011,271170
Total (All India),2012,270890
Total (States),2001,212950
Total (States),2002,216998
Total (States),2003,217644
Total (States),2004,223306
Total (States),2005,223604
Total (States),2006,231630
Total (States),2007,240614
Total (States),2008,245804
Total (States),2009,249740
Total (States),2010,264452
Total (States),2011,265950
Total (States),2012,265334
Total (Uts),2001,4062
Total (Uts),2002,3836
Total (Uts),2003,4058
Total (Uts),2004,4088
Total (Uts),2005,4224
Total (Uts),2006,4594
Total (Uts),2007,4660
Total (Uts),2008,4230
Total (Uts),2009,4562
Total (Uts),2010,4746
Total (Uts),2011,5220
Total (Uts),2012,5556
Tripura,2001,4270
Tripura,2002,3891
Tripura,2003,4220
Tripura,2004,3850
Tripura,2005,3575
Tripura,2006,3825
Tripura,2007,3525
Tripura,2008,3760
Tripura,2009,3689
Tripura,2010,3625
Tripura,2011,3515
Tripura,2012,4220
Uttar Pradesh,2001,17580
Uttar Pradesh,2002,21250
Uttar Pradesh,2003,18315
Uttar Pradesh,2004,18185
Uttar Pradesh,2005,17245
Uttar Pradesh,2006,15495
Uttar Pradesh,2007,19610
Uttar Pradesh,2008,20440
Uttar Pradesh,2009,20790
Uttar Pradesh,2010,18140
Uttar Pradesh,2011,24195
Uttar Pradesh,2012,22107
Uttarakhand,2001,1555
Uttarakhand,2002,1805
Uttarakhand,2003,1953
Uttarakhand,2004,1185
Uttarakhand,2005,1365
Uttarakhand,2006,1630
Uttarakhand,2007,1238
Uttarakhand,2008,948
Uttarakhand,2009,1710
Uttarakhand,2010,1402
Uttarakhand,2011,1585
Uttarakhand,2012,2120
West Bengal,2001,68450
West Bengal,2002,65035
West Bengal,2003,66400
West Bengal,2004,67035
West Bengal,2005,75075
West Bengal,2006,78625
West Bengal,2007,74300
West Bengal,2008,74260
West Bengal,2009,73240
West Bengal,2010,80185
West Bengal,2011,82460
West Bengal,2012,44871
